name,capacity_mw
Lake Bonney Stage 2 Wind Farm,159.0
Lake Bonney Stage 3 Wind Farm,39.0
Lake Cargelligo CSP,3.0
Lake Echo,32.4
Lake Glenmaggie,4.0
Lake Keepit,6.5
Lake William Hovell,2.0
Lakeland QLD,10.9
Landfill Management Services Shoal Bay,1.1
Laverton,1.5
Laverton (Granny Smith Gold Mine),30.6
Laverton North,312.0
Leichhardt,60.0
Leinster Nickel Mine,59.0
Lemonthyme,81.6
Leonards Hill,4.1
Leonora,4.43
Liapootah,87.3
Liddell,2200.0
Liddell Solar Thermal,9.3
Lilyvale Solar Farm,100.0
Lincoln Gap,10.0
Longford,31.0
Lonsdale,20.0
Lower Lake Margaret,3.2
Lower Rubicon,13.55
Loy Yang A,2180.0
Loy Yang B,1000.0
Lucas Heights I,5.39
Lucas Heights II,16.0
Macarthur Wind Farm,420.0
Mackay,30.0
Mackintosh,79.9
Macknade Sugar Mill,8.0
Mandurah,1.3
Manildra Solar Farm,46.0
Marble Bar Diesel Backup,1.28
Maryborough,7.5
Maryvale Mill,54.5
McArthur River Mine,78.0
McKay Creek (Mount Beauty Hydro Scheme),150.0
Meadowbank,40.0
Meekatharra,2.9
Melbourne,1.2
Merredin,82.0
Mica Creek,325.0
Millmerran,856.0
Mintaro,90.0
Moorabool North Wind Farm,131.0
Moorabool South Wind Farm,131.0
Moranbah,12.56
Moranbah North,45.7
Moree,60.0
Mornington,1.0
Mortlake,566.0
Mortons Lane Wind Farm,20.0
Mount Keith Nickel Mine,112.0
Mount Magnet,1.9
Mount Millar Wind Farm,70.0
Mount Stuart,423.0
Mt Gambier,10.0
Mt Gellibrand Wind Farm,189.0
Mt Mercer Wind Farm,131.0
Mt Piper,1400.0
Mugga Lane,3.5
Mugga Lane Solar Park,13.0
Muja C,400.0
Muja D,454.0
Mulgrave,13.0
Mumbida Wind Farm,55.0
Mungarra,112.0
Mungullah,18.0
Munmorah,600.0
Murra Warra Wind Farm,429.0
Murray 1,950.0
Murray 2,552.0
Murrin Murrin (Nickel Mine),78.0
Musselroe,168.0
Narrogin Bioenergy Plant,1.0
Narromine,15.0
Neerabup,330.0
Newman Iron Ore Mine,170.0
Newport,500.0
Nhulunbuy,24.0
Nieterana,2.2
Nine Network,3.2
Noranda,1.1
Normanton,4.5
Norseman Mine,9.0
North Brown Hill  Wind Farm,132.3
North Sydney,2.4
Northam,10.0
Numurkah Solar Farm,100.0
Nymboida,33.6
Nyngan Solar Plant,102.0
Oakey,282.0
Oakey 1,25.0
Oakey 2,55.0
Oakland Hills Wind Farm,67.0
Oaky,4.8
Oaky Creek,20.0
Onslow,3.6
Ord River,30.0
Osborne,180.0
Owen Springs,36.0
Paloona,28.0
Paraburdoo,155.0
Paraburdoo (Standby),20.0
Parkes Solar Farm,66.0
Pedler Creek,3.0
Pelican Point,478.0
Perth Zoo,2.37
Peterborough SA,4.9
Pindari,6.7
Pine Creek,34.76
Pinjar,576.0
Pinjarra Bauxite Mine and Alumina Refinery,280.0
Pioneer Sugar Mill,67.8
Plane Creek Sugar Mill,14.0
Plutonic Gold Mine,28.0
Poatina,100.0
Port Hedland,126.0
Port Hedland (Smaller),84.0
Port Lincoln,73.5
Port Stanvac,57.6
Proserpine Sugar Mill,17.0
Quarantine,224.0
Racecourse Mill,3.5
Ravensthorpe,56.0
Red Hill,3.65
Redbank,150.0
Reece,238.0
Remount,2.2
Repulse,28.0
Revesby Workers Club,2.5
Rochedale,4.0
Rockingham,2.1
Rocky Point Sugar Sugar Mill,30.0
Roghan Road,2.0
Rollingstone QLD,125.0
Roma,80.0
Ron Goodin,44.6
Ross River,148.0
Rowallan,10.5
Roy Hill,6.0
Royalla Solar Farm,20.0
Rubicon,13.55
Rugby Run Solar Farm,65.0
Sapphire Wind Farm,270.0
Savannah Nickel Mine,10.8
Shenton Park WMRC Project,1.0
Shepparton Biogas Generation Plant,1.1
Smithfield Energy,170.9
Snowtown North,148.0
Snowtown South,126.0
Snuggery,63.0
Solomon Iron Ore Mine,125.0
Somerton,160.0
South Cardup (Shale Road Landfill),3.3
South Johnstone,20.0
Springvale,4.2
St George Leagues Club,1.0
Stanwell,1460.0
Stapylton Green Energy,4.8
Starfish Hill Wind Farm,34.5
Studland Bay (Woolnorth) Wind Farm,75.0
Summerhill,5.0
Summerhill,2.2
Sun Metals Solar Farm,124.0
Suncoast Gold Macadamia,1.5
Sunraysia,200.0
Sunrise Dam,28.4
Susan River,98.0
Swan Hill,19.0
Swanbank E,385.0
Symex Port Melbourne,5.9
Tableland,7.0
Tahmoor,7.0
Tailem Bend Solar Farm,95.0
Tallawarra,460.0
Tamala Park,4.65
Tamar Valley,390.0
Taralga Wind Farm,107.0
Tarong,1400.0
Tarong (Oil),15.0
Tarong North,443.0
Tarraleah,90.0
Tatura Biogas Generation Plant,1.1
Tea Tree Gully,1.0
Telfer Gold Mine,159.0
Tennant Creek,16.7
Teralba,3.0
Terminal Storage,2.5
The Drop,3.0
Ti Tree Bioenergy,3.3
Timber Creek,1.0
Tods Corner,1.7
Tomago Aluminium Smelter,810.0
Toora Wind Farm,21.0
Torrens Island A,480.0
Torrens Island B,800.0
Tower Mine,41.2
Townsville,220.0
Traralgon Network Support Station,10.0
Trevallyn,80.0
Tribute,82.8
Tully Sugar Mill,21.4
Tumut 1 (Upper Tumut),616.0
Tumut 2 (Upper Tumut),336.0
Tumut 3,1500.0
Tungatinah,125.0
University of Queensland (St Lucia Campus) Solar Array,1.2
Upper Lake Margaret,8.4
Uranquinty,664.0
Uterne Solar,1.0
Valdora,15.0
Vales Point B,1360.0
Valley (Peaking Facility),300.0
Victoria Sugar Mill,24.0
Visy Paper Gibson Island,2.0
Visy Pulp and Paper Tumut,20.0
Wadeye,6.8
Wagerup,380.0
Wagerup Bauxite Mine and Alumina Refinery,98.0
Walkaway Wind Farm,90.0
Wallerawang C,500.0
Warmun,1.3
Warragamba,50.0
Warrego,19.0
Waterloo Wind Farm,111.0
Wattle Point Wind Farm,90.75
Waubra Wind Farm,192.0
Wayatinah,38.3
Weddell,86.0
Wemen Solar Farm,110.0
West Angelas Mine,86.0
West Illawarra Leagues Club,1.0
West Kalgoorlie,60.0
West Kiewa (Mount Beauty Hydro Scheme),62.0
West Nowra (Shoalhaven),1.0
Western Suburbs Leagues Club (Campbelltown),1.0
White Rock,20.0
Whitsunday Solar Farm,69.0
Whitwood Road,1.0
Whyalla SSE,6.0
Wilga Park,16.0
Williamsdale,7.0
Wilmot,81.6
Wilpena Solar Farm,145.0
Wiluna,1.3
Wiluna Gold Mine,21.0
Windimurra Vanadium Mine,23.7
Windy Hill Wind Farm,12.0
Wingfield I,5.0
Wingfield II,5.0
Wivenhoe,4.7
Wivenhoe Hydroelectric,500.0
Wodgina,13.7
Wollert,6.738
Wonthaggi Wind Farm,12.0
Woodlawn Bioreactor,7.0
Woodlawn Wind Farm,48.0
Woodman Point,1.8
Worsley,120.0
Worsley Cogeneration,106.0
Wyangala A,20.0
Wyndham,1.0
Xstata X41,30.0
Yallourn,1480.0
Yaloak South Wind Farm,131.0
Yambuk Wind Farm,30.0
Yarrawonga,9.0
Yarwun,154.0
Yatpool,81.0
Yulara,10.95
Yurralyi Maya (Karratha Seven Mile),180.0
Abwinden-Asten,168.0
Altenmarkt,26.0
Arnstein,30.0
Aschach,287.0
Bischofshofen,16.0
Braunau-Simbach,100.0
Dionysen,16.0
Donaustadt,395.0
Ering-Frauenstein,72.0
Erzbach,1.0
Feistritz-Ludmannsdorf,88.0
Feldkirchen,38.0
Ferlach Maria Rain,75.0
Fisching,22.0
Freudenau Danube,172.0
Friesach,12.0
Funsingau,25.0
Gabersdorf,14.0
Gaming,14.0
Gerlos,200.0
Gratkorn,11.0
